name, id_source, id_stock, action, location
PKCa,5578,4771,-1,1
FZD,11211,1855,1,0
Cadherin,999,126374,1,0
Cadherin,999,126374,1,0
Dvl1,1855,2932,-1,2
GSK3b,2932,8313,0,2
GSK3b,2932,10297,0,2
GSK3b,2932,122011,0,2
GSK3b,2932,1499,-1,2
Axin1,8313,2932,0,2
APC2,10297,2932,0,2
CK1a,122011,2932,0,2
bCAT,1499,51176,1,3
bCAT,1499,51176,0,3
NF2,4771,6788,1,2
MST1/2,6788,26524,1,2
LAT1/2,26524,10413,-1,2
YAP,10413,51176,1,3
YAP,10413,51176,0,3
TCF,51176,4609,1,4
TCF,51176,3725,1,4
TCF,51176,595,1,4
TCF,51176,6657,1,4
TCF,51176,8313,1,4
TCF,51176,6662,1,4
TCF,51176,6591,1,4
TCF,51176,6615,1,4
cMyc,4609,,,4
cJun,3725,,,4
CCND1,595,,,4
Sox2,6657,,,4
Axin2,8313,,,4
Sox9,6662,,,4
Ajub,126374,26524,-1,0
Slug,6591,,,4
Snail,6615,,,4
IL1R,3554,7189,1,0
IL1R,3554,10454,1,0
TNFR,7132,7189,1,0
TNFR,7132,10454,1,0
TRAF6,7189,23118,1,2
TAB1,10454,6885,1,2
TAB2,23118,10454,1,2
TAK1,6885,51701,1,2
NLK,51701,51176,-1,3
BMPRI,657,659,0,0
BMPRI,657,4086,1,0
BMPRII,659,657,0,0
TGFBRI,7046,7048,0,0
TGFBRI,7046,4088,1,0
TGFBRII,7048,7046,0,0
Smad1,4086,4088,-1,3
Smad3,4088,51176,1,3
Smad3,4088,4089,0,3
Smad4,4089,4088,0,3
DSG2,1829,5318,0,0
PKP2,5318,5578,0,1
PKP2,5318,1829,0,1
PKP2,5318,3728,0,1
JUP,3728,5318,0,1
JUP,3728,1832,0,1
DSP,1832,3728,0,1
DSP,1832,1674,0,1
DES,1674,1832,0,2
